name,description,product_type_id,created_at,updated_at,validFrom,validTo,status
RandaNafaka,Fry,1,12/2/2023,12/2/2023,12/2/2023,12/28/2023,DRAFT
Ana,Hurley,8,12/2/2023,12/2/2023,12/2/2023,12/19/2023,DRAFT
Bernie,McAdams,4,12/2/2023,12/2/2023,12/2/2023,12/27/2023,DELETED
Bosanska Linda,Chem,3,12/2/2023,12/2/2023,12/2/2023,12/4/2023,DELETED
Amelia,Quent,3,12/2/2023,12/2/2023,12/2/2023,12/5/2023,DRAFT
TestingKralj,Natica,1,12/2/2023,12/2/2023,12/2/2023,12/18/2023,DRAFT
Belinda,Brotherson,3,12/2/2023,12/2/2023,12/2/2023,12/12/2023,DRAFT
Sophia,Annice,3,12/2/2023,12/2/2023,12/2/2023,12/26/2023,DRAFT
Raina,Fontana,7,12/2/2023,12/2/2023,12/2/2023,12/19/2023,DRAFT
Sheelagh,Tryck,1,12/2/2023,12/2/2023,12/2/2023,12/24/2023,ACTIVATED
Paule,Drus,7,12/2/2023,12/2/2023,12/2/2023,12/8/2023,DRAFT
Trixi,Presber,8,12/2/2023,12/2/2023,12/2/2023,12/18/2023,DELETED
Ardys,Crudden,1,12/2/2023,12/2/2023,12/2/2023,12/14/2023,ACTIVATED
Jorry,Neils,3,12/2/2023,12/2/2023,12/2/2023,12/26/2023,DELETED
Estell,Leffen,1,12/2/2023,12/2/2023,12/2/2023,12/15/2023,DRAFT
Marcy,Gibbeon,6,12/2/2023,12/2/2023,12/2/2023,12/24/2023,DRAFT
Rivalee,Mauer,6,12/2/2023,12/2/2023,12/2/2023,12/17/2023,ACTIVATED
Kathi,Horan,9,12/2/2023,12/2/2023,12/2/2023,12/11/2023,DELETED
Mahalia,Pelagias,7,12/2/2023,12/2/2023,12/2/2023,12/7/2023,ACTIVATED
Lulita,Vittoria,6,12/2/2023,12/2/2023,12/2/2023,12/20/2023,DRAFT
Sonni,Vorster,2,12/2/2023,12/2/2023,12/2/2023,12/8/2023,DELETED
Averyl,Edmund,3,12/2/2023,12/2/2023,12/2/2023,12/28/2023,ACTIVATED
Mallory,Cadmar,3,12/2/2023,12/2/2023,12/2/2023,12/13/2023,DRAFT
Wileen,Evangelia,2,12/2/2023,12/2/2023,12/2/2023,12/18/2023,DRAFT
Amalie,Tufts,9,12/2/2023,12/2/2023,12/2/2023,12/4/2023,DRAFT
Lucy,Howlyn,5,12/2/2023,12/2/2023,12/2/2023,12/20/2023,DRAFT
Randa,Shuler,9,12/2/2023,12/2/2023,12/2/2023,12/17/2023,DRAFT
Teriann,Jena,5,12/2/2023,12/2/2023,12/2/2023,12/26/2023,DRAFT
Violet,Sheedy,8,12/2/2023,12/2/2023,12/2/2023,12/8/2023,ACTIVATED
Tilly,Rona,4,12/2/2023,12/2/2023,12/2/2023,12/23/2023,ACTIVATED
Addia,Baptlsta,10,12/2/2023,12/2/2023,12/2/2023,12/28/2023,DELETED
Olwen,Guildroy,9,12/2/2023,12/2/2023,12/2/2023,12/8/2023,DELETED
Arabel,Halla,10,12/2/2023,12/2/2023,12/2/2023,12/5/2023,ACTIVATED
Ilse,Marcellus,9,12/2/2023,12/2/2023,12/2/2023,12/10/2023,DELETED
Linzy,Chobot,4,12/2/2023,12/2/2023,12/2/2023,12/17/2023,DRAFT
Beatriz,Doig,4,12/2/2023,12/2/2023,12/2/2023,12/6/2023,DRAFT
Aili,Johnsson,6,12/2/2023,12/2/2023,12/2/2023,12/7/2023,DELETED
Minne,Sacken,7,12/2/2023,12/2/2023,12/2/2023,12/28/2023,DRAFT
Ronna,Grosz,3,12/2/2023,12/2/2023,12/2/2023,12/13/2023,DELETED
Annaliese,Longfellow,9,12/2/2023,12/2/2023,12/2/2023,12/24/2023,ACTIVATED
Wendi,Heidt,6,12/2/2023,12/2/2023,12/2/2023,12/25/2023,ACTIVATED
Vevay,McGrody,10,12/2/2023,12/2/2023,12/2/2023,12/27/2023,DELETED
Etta,Rogerio,6,12/2/2023,12/2/2023,12/2/2023,12/10/2023,ACTIVATED
Mignon,Dielu,10,12/2/2023,12/2/2023,12/2/2023,12/28/2023,DELETED
